,BOROUGH,SITE_STATUS,SITE_NAME,SITE_NUMBER,Entrance,lng,lat,Entrance_Type,All_Election_Districts
14,QUEENS,A,PS 201-Discovery School for Inquiry & Research,Q0228,65-11 155 Street Flushing 11367,-73.813194,40.736727,Voter,"[40, 85, 62, 41]"
15,QUEENS,A,PS 201-Discovery School for Inquiry & Research,Q0228,Rear Entrance on 156th Street Flushing 11367,-73.81289,40.730226,Handicap,"[40, 85, 62, 41]"
16,BROOKLYN,A,Crown Heights Apts,11187,1055 St Johns Place Brooklyn 11213,-73.942983,40.67141,Voter,"[41, 42, 43]"
17,BROOKLYN,A,Crown Heights Apts,11187,1055 St Johns Place Brooklyn 11213,-73.942983,40.67141,Handicap,"[41, 42, 43]"
18,MANHATTAN,A,Dewitt Clinton Center,10518,120 East 110 Street New York 10029,-73.945148,40.794925,Voter,"[36, 55, 115]"
19,MANHATTAN,A,Dewitt Clinton Center,10518,120 East 110 Street New York 10029,-73.945148,40.794925,Handicap,"[36, 55, 115]"
20,QUEENS,A,PS 191-Mayflower,Q0271,85-15 258 Street Floral Park 11001,-73.70892,40.734222,Voter,"[8, 7, 6, 9, 2, 1, 5, 3, 4, 75]"
21,QUEENS,A,PS 191-Mayflower,Q0271,Entrance on 259th Street Floral Park 11001,-73.7,40.72,Handicap,"[8, 7, 6, 9, 2, 1, 5, 3, 4, 75]"
22,BRONX,A,East Bronx Academy,11738,1716 Southern Boulevard Bronx 10460,-73.887718,40.837054,Voter,"[14, 16, 15, 18]"
23,BRONX,A,East Bronx Academy,11738,"Exit 4, First door right of main entrance Bronx 10460",-73.88,40.84,Handicap,"[14, 16, 15, 18]"
24,BROOKLYN,A,PS 12,11537,430 Howard Avenue Brooklyn 11233,-73.919756,40.672854,Voter,"[103, 66, 104, 63, 32, 107]"
25,BROOKLYN,A,PS 12,11537,Enter on Prospect Place through school yard Brooklyn 11233,-73.96,40.66,Handicap,"[103, 66, 104, 63, 32, 107]"
26,BROOKLYN,A,Brooklyn Prospect Charter School,11432,3002 Ft Hamilton Parkway Brooklyn 11218,-73.978583,40.648155,Voter,"[51, 52, 17, 53, 86]"
27,BROOKLYN,A,Brooklyn Prospect Charter School,11432,3002 Ft Hamilton Parkway Brooklyn 11218,-73.978583,40.648155,Handicap,"[51, 52, 17, 53, 86]"
28,QUEENS,A,Information Technology H. S.,11112,21-16 44 Road Long Island City 11101,-73.946443,40.748624,Voter,"[18, 24, 80]"
29,QUEENS,A,Information Technology H. S.,11112,21-16 44 Road Long Island City 11101,-73.946443,40.748624,Handicap,"[18, 24, 80]"
30,QUEENS,A,JHS 157-Stephen A Halsey,Q0222,63-55 102 Street Rego Park 11374,-73.853596,40.732148,Voter,"[52, 49, 53, 47, 53, 48]"
31,QUEENS,A,JHS 157-Stephen A Halsey,Q0222,Side Entrance located midway on 63rd Drive Rego Park 11374,-73.857622,40.7311831,Handicap,"[52, 49, 53, 47, 53, 48]"
32,MANHATTAN,A,Washington Sq SE Ap,10007,505 Laguardia Place New York 10012,-73.999152,40.727227,Voter,[22]
33,MANHATTAN,A,Washington Sq SE Ap,10007,Wooster Street New York 10012,-74.0015592,40.7237983,Handicap,[22]
34,STATEN IS,A,Eltingville Lutheran Church,11426,300 Genesee Avenue Staten Island 10312,-74.166429,40.552387,Voter,"[46, 48, 49]"
35,STATEN IS,A,Eltingville Lutheran Church,11426,300 Genesee Avenue Staten Island 10312,-74.166429,40.552387,Handicap,"[46, 48, 49]"
36,STATEN IS,A,PS 32 The Gifford School,S0034,232 Barlow Avenue Staten Island 10308,-74.155041,40.558664,Voter,"[55, 51, 53, 52, 50]"
37,STATEN IS,A,PS 32 The Gifford School,S0034,232 Barlow Avenue Staten Island 10308,-74.155041,40.558664,Handicap,"[55, 51, 53, 52, 50]"
38,MANHATTAN,A,B'nai Jeshurun,11748,270 West 89 Street New York 10024,-73.975907,40.790477,Voter,"[88, 89, 112, 86, 12]"
39,MANHATTAN,A,B'nai Jeshurun,11748,270 West 89 Street New York 10024,-73.975907,40.790477,Handicap,"[88, 89, 112, 86, 12]"
40,BROOKLYN,A,Cypress Hills Sr Housing Residences,11752,137 Jamaica Avenue Brooklyn 11207,-73.895055,40.679401,Voter,"[41, 43]"
41,BROOKLYN,A,Cypress Hills Sr Housing Residences,11752,137 Jamaica Avenue Brooklyn 11207,-73.895055,40.679401,Handicap,"[41, 43]"
42,BRONX,A,Mt. St. Michael Academy,X0155,4300 Murdock Avenue Bronx 10466,-73.842348,40.898661,Voter,"[79, 83, 82]"
43,BRONX,A,Mt. St. Michael Academy,X0155,Corner of Nereid and Hill Avenue Bronx 10466,-73.86,40.89,Handicap,"[79, 83, 82]"
44,BRONX,A,Van Nest Academy-PS/MS 498,11373,1640 Bronxdale Avenue Bronx 10462,-73.858255,40.845091,Voter,"[57, 56, 119]"
45,BRONX,A,Van Nest Academy-PS/MS 498,11373,1640 Bronxdale Avenue - poll site is on 2nd floor Bronx 10462,-73.858255,40.845091,Handicap,"[57, 56, 119]"
46,MANHATTAN,A,PS 184M,11260,327 Cherry Street New York 10002,-73.98585,40.711499,Voter,"[36, 37, 38, 39, 42]"
47,MANHATTAN,A,PS 184M,11260,327 Cherry Street New York 10002,-73.98585,40.711499,Handicap,"[36, 37, 38, 39, 42]"
48,BROOKLYN,A,Hope Gardens Sr Ctr,B0101,195 Linden Street Brooklyn 11221,-73.917526,40.695531,Voter,"[75, 74, 23, 20]"
49,BROOKLYN,A,Hope Gardens Sr Ctr,B0101,195 Linden Street Brooklyn 11221,-73.917526,40.695531,Handicap,"[75, 74, 23, 20]"
50,QUEENS,A,PS 166-Henry Gradstein,Q0145,33-09 35 Avenue Astoria 11106,-73.926473,40.757347,Voter,"[68, 68, 6, 49, 5, 26, 4, 65]"
51,QUEENS,A,PS 166-Henry Gradstein,Q0145,Rear School Entrance from 33rd Street Astoria 11106,-73.93,40.76,Handicap,"[68, 68, 6, 49, 5, 26, 4, 65]"
52,BRONX,A,PS 48 Joseph R. Drake,X0027,1290 Spofford Avenue Bronx 10474,-73.886889,40.814228,Voter,"[74, 77, 73, 81, 53]"
53,BRONX,A,PS 48 Joseph R. Drake,X0027,Side School entrance on Coster Street Bronx 10474,-73.8662,40.8501,Handicap,"[74, 77, 73, 81, 53]"
54,BROOKLYN,A,PS 120,B0088,18 Beaver Street Brooklyn 11206,-73.937854,40.700512,Voter,"[49, 43, 44]"
55,BROOKLYN,A,PS 120,B0088,Left side of main entrance through school yard Brooklyn 11206,-73.995752,40.6591058,Handicap,"[49, 43, 44]"
56,QUEENS,A,Mary's Nativity Church,11041,46-02 Parsons Boulevard Flushing 11355,-73.8135,40.753952,Voter,"[30, 57, 29, 28, 57]"
57,QUEENS,A,Mary's Nativity Church,11041,Side Entrance on Jasmine Avenue Flushing 11355,-73.82,40.75,Handicap,"[30, 57, 29, 28, 57]"
58,BRONX,A,RIVERDALE -- YMY-WHA,X0237,5625 Arlington Avenue Bronx 10471,-73.907983,40.905182,Voter,"[62, 64]"
59,BRONX,A,RIVERDALE -- YMY-WHA,X0237,Second floor Recreational Room Bronx 10471,12.494549,41.889996,Handicap,"[62, 64]"
60,BROOKLYN,A,Fort Hamilton Senior Center,11488,9941 Fort Hamilton Parkway Brooklyn 11209,-74.031746,40.611886,Voter,"[41, 74, 65, 63, 64]"
61,BROOKLYN,A,Fort Hamilton Senior Center,11488,main entrance Brooklyn 11209,-73.995752,40.6591058,Handicap,"[41, 74, 65, 63, 64]"
62,MANHATTAN,A,PS/JHS 117,M0140,240 East 109 Street New York 10029,-73.941538,40.7926,Voter,"[42, 40, 43, 37]"
63,MANHATTAN,A,PS/JHS 117,M0140,2nd Ave (Through walkway / Parking Lot) New York 10029,,,Handicap,"[42, 40, 43, 37]"
64,MANHATTAN,A,PS 175,M0081,175 West 134 Street New York 10030,-73.942883,40.814206,Voter,"[41, 44, 35, 43, 34, 40, 45, 42]"
65,MANHATTAN,A,PS 175,M0081,175 West 134 Street New York 10030,-73.942883,40.814206,Handicap,"[41, 44, 35, 43, 34, 40, 45, 42]"
66,BROOKLYN,A,IS 88,10253,544 7 Avenue Brooklyn 11215,-73.987941,40.660367,Voter,"[21, 11, 23, 42, 77, 13, 12, 12, 22, 64, 83]"
67,BROOKLYN,A,IS 88,10253,544 7 Avenue Brooklyn 11215,-73.987941,40.660367,Handicap,"[21, 11, 23, 42, 77, 13, 12, 12, 22, 64, 83]"
68,QUEENS,A,PS 142-Queens Transition Center /Queens Academy,Q0047,142-10 Linden Boulevard Jamaica 11436,-73.801149,40.684031,Voter,"[30, 34, 35, 33, 29, 82, 83]"
69,QUEENS,A,PS 142-Queens Transition Center /Queens Academy,Q0047,Rear Parking Lot Entrance on 143rd Street Jamaica 11436,-73.7984879,40.6785861,Handicap,"[30, 34, 35, 33, 29, 82, 83]"
70,STATEN IS,A,Holy Rosary Par. Ctr,10417,85 Jerome Avenue Staten Island 10305,-74.07567,40.59633,Voter,"[42, 41, 39, 37, 59, 60]"
71,STATEN IS,A,Holy Rosary Par. Ctr,10417,85 Jerome Avenue Staten Island 10305,-74.07567,40.59633,Handicap,"[42, 41, 39, 37, 59, 60]"
72,BROOKLYN,A,Midwood Catholic Academy,B0071,1501 Hendrickson Street Brooklyn 11234,-73.935695,40.620521,Voter,"[22, 28, 27, 43, 21, 23]"
73,BROOKLYN,A,Midwood Catholic Academy,B0071,1501 Hendrickson Street Brooklyn 11234,-73.935695,40.620521,Handicap,"[22, 28, 27, 43, 21, 23]"
74,STATEN IS,A,The Michael J. Petrides School - Building K,10709,715 Ocean Terrace Staten Island 10301,-74.103977,40.609286,Voter,"[70, 52]"
75,STATEN IS,A,The Michael J. Petrides School - Building K,10709,100 Milford Drive Staten Island 10301,-74.101516,40.610092,Handicap,"[70, 52]"
76,QUEENS,A,PS 130,Q0100,200-01 42 Avenue Bayside 11361,-73.783792,40.759815,Voter,"[53, 80]"
77,QUEENS,A,PS 130,Q0100,Through Pathway on 201st Street between School and Park Bayside 11361,-73.7774196,40.7486945,Handicap,"[53, 80]"
78,MANHATTAN,A,PS 149,M0215,41 West 117 Street New York 10026,-73.948291,40.802436,Voter,"[66, 16, 92, 9, 105]"
79,MANHATTAN,A,PS 149,M0215,West 118th Street (Through Schoolyard) New York 10026,-73.9524709,40.8050169,Handicap,"[66, 16, 92, 9, 105]"
80,BRONX,A,PS 11 Highbridge,X0025,1257 Ogden Avenue Bronx 10452,-73.925699,40.839672,Voter,"[9, 7, 6, 8, 78]"
81,BRONX,A,PS 11 Highbridge,X0025,Entrance on Merriam Avenue through gated yard Bronx 10452,-73.9255857,40.8411696,Handicap,"[9, 7, 6, 8, 78]"
82,BROOKLYN,A,PS 89,11433,265 Warwick Street Brooklyn 11207,-73.886796,40.677685,Voter,"[45, 42, 45, 54, 44, 83]"
83,BROOKLYN,A,PS 89,11433,Enter on the right side of the Main Entrance (Atlantic Ave) Brooklyn 11207,-73.9,40.68,Handicap,"[45, 42, 45, 54, 44, 83]"
84,BROOKLYN,A,PS 244,11107,5404 Tilden Avenue Brooklyn 11203,-73.925482,40.648272,Voter,"[43, 36, 9, 40, 37, 45]"
85,BROOKLYN,A,PS 244,11107,To left of main entrance on East 55 Street Brooklyn 11203,-84.2539813003493,49.4515636581,Handicap,"[43, 36, 9, 40, 37, 45]"
86,BROOKLYN,A,Vandalia  Ctr,B0252,47 Vandalia Avenue Brooklyn 11239,-73.886938,40.650056,Voter,"[13, 74, 62, 75]"
87,BROOKLYN,A,Vandalia  Ctr,B0252,47 Vandalia Avenue Brooklyn 11239,-73.886938,40.650056,Handicap,"[13, 74, 62, 75]"
88,QUEENS,A,PS 205-Alexander Graham Bell,Q0250,75-25 Bell Boulevard Oakland Gardens 11364,-73.756614,40.737756,Voter,"[18, 21, 17, 23, 20, 84]"
89,QUEENS,A,PS 205-Alexander Graham Bell,Q0250,75-25 Bell Boulevard Oakland Gardens 11364,-73.756614,40.737756,Handicap,"[18, 21, 17, 23, 20, 84]"
90,BROOKLYN,A,Erasmus Hall HS,B0365,911 Flatbush Avenue Brooklyn 11226,-73.958257,40.649504,Voter,"[5, 9, 68, 74, 78, 77, 32]"
91,BROOKLYN,A,Erasmus Hall HS,B0365,Bedford Avenue & Erasmus Street Brooklyn 11226,-73.955791,40.649523,Handicap,"[5, 9, 68, 74, 78, 77, 32]"
92,STATEN IS,A,PS 8 Shirlee Solomon,S0073,112 Lindenwood Road Staten Island 10308,-74.151951,40.547645,Voter,"[3, 5, 4, 8, 54]"
93,STATEN IS,A,PS 8 Shirlee Solomon,S0073,Side entrance on Lindenwood Rd Staten Island 10308,-84.2539813003493,49.4515636581,Handicap,"[3, 5, 4, 8, 54]"
94,MANHATTAN,A,PS 3,M0245,490 Hudson Street New York 10014,-74.006295,40.732592,Voter,"[74, 77, 75, 66, 72, 78, 73, 96]"
95,MANHATTAN,A,PS 3,M0245,490 Hudson Street New York 10014,-74.006295,40.732592,Handicap,"[74, 77, 75, 66, 72, 78, 73, 96]"
96,BROOKLYN,A,Warbasse Bldg 4,B0159,2770 West 5 Street Brooklyn 11224,-73.971816,40.581526,Voter,[27]
97,BROOKLYN,A,Warbasse Bldg 4,B0159,West Avenue Brooklyn 11224,-73.9723021,40.5827389,Handicap,[27]
98,STATEN IS,A,IS 72 Rocco Laurie,10298,33 Ferndale Avenue Staten Island 10314,-74.158633,40.592757,Voter,"[16, 27, 28, 78, 77]"
99,STATEN IS,A,IS 72 Rocco Laurie,10298,33 Ferndale Avenue Staten Island 10314,-74.158633,40.592757,Handicap,"[16, 27, 28, 78, 77]"
100,QUEENS,A,PS 98-Douglaston School,Q0169,40-20 235 Street Little Neck 11363,-73.7496,40.769165,Voter,"[31, 30, 28]"
101,QUEENS,A,PS 98-Douglaston School,Q0169,234th Street through Schoolyard Little Neck 11363,-73.7513894,40.7697361,Handicap,"[31, 30, 28]"
102,BROOKLYN,A,PS 203,B0388,5101 Avenue M Brooklyn 11234,-73.925671,40.621659,Voter,"[41, 22, 26, 39, 19, 24, 23]"
103,BROOKLYN,A,PS 203,B0388,Avenue M To the left of main entrance Brooklyn 11234,-73.92,40.61,Handicap,"[41, 22, 26, 39, 19, 24, 23]"
104,QUEENS,A,PS 232-Lindenwood,Q0064,153-23 83 Street Howard Beach 11414,-73.851027,40.66585,Voter,"[84, 61, 62, 65, 75, 64, 63, 93]"
105,QUEENS,A,PS 232-Lindenwood,Q0064,Rear Schoolyard Entrance on 84th Street near 153rd Avenue Howard Beach 11414,-73.8511194,40.6685326,Handicap,"[84, 61, 62, 65, 75, 64, 63, 93]"
106,MANHATTAN,A,Gen Grant Houses II,10522,1295 Amsterdam Avenue New York 10027,-73.957104,40.811386,Voter,"[100, 108]"
107,MANHATTAN,A,Gen Grant Houses II,10522,1295 Amsterdam Avenue New York 10027,-73.957104,40.811386,Handicap,"[100, 108]"
108,BROOKLYN,A,Crown Gardens Community Center,B0037,1185 Carroll Street Brooklyn 11225,-73.94975,40.66721,Voter,"[39, 38]"
109,BROOKLYN,A,Crown Gardens Community Center,B0037,Enter on Nostrand Avenue Brooklyn 11225,-73.950478,40.666889,Handicap,"[39, 38]"
110,QUEENS,A,PS / IS 270-Gordon Parks School,10861,233-15 Merrick Boulevard Rosedale 11422,-73.736626,40.675003,Voter,"[68, 62, 67, 64, 63, 65, 61, 60, 66]"
111,QUEENS,A,PS / IS 270-Gordon Parks School,10861,Schoolyard Entrance on 234th Street near Merrick Blvd Rosedale 11422,-73.7335001,40.6798194,Handicap,"[68, 62, 67, 64, 63, 65, 61, 60, 66]"
112,MANHATTAN,A,Fashion Institute of Technology,10465,298 7 Avenue New York 10001,-73.990769,40.750794,Voter,"[101, 48, 60, 49, 61, 42, 50, 36, 102]"
113,MANHATTAN,A,Fashion Institute of Technology,10465,7 Ave & W 27 St (SW Corner) New York 10001,-73.993813,40.746618,Handicap,"[101, 48, 60, 49, 61, 42, 50, 36, 102]"
114,MANHATTAN,A,Penn South (Bldg 2B),M0195,339 West 24 Street New York 10011,-73.99983,40.746359,Voter,"[38, 114]"
115,MANHATTAN,A,Penn South (Bldg 2B),M0195,341 West 24 Street New York 10011,-73.999661,40.746509,Handicap,"[38, 114]"
116,QUEENS,A,PS 47-Chris Galas,00063,9 Power Road Far Rockaway 11693,-73.820999,40.60657,Voter,"[74, 81, 73, 41, 72, 82, 80, 40, 79, 77, 78, 76]"
117,QUEENS,A,PS 47-Chris Galas,00063,9 POWER ROAD Far Rockaway 11693,-73.820999,40.60657,Handicap,"[74, 81, 73, 41, 72, 82, 80, 40, 79, 77, 78, 76]"
118,QUEENS,A,PS 239,10862,17-15 Weirfield Street Ridgewood 11385,-73.903805,40.699433,Voter,"[4, 6, 53, 5, 7]"
119,QUEENS,A,PS 239,10862,17-15 Weirfield Street Ridgewood 11385,-73.903805,40.699433,Handicap,"[4, 6, 53, 5, 7]"
120,BROOKLYN,A,Moffat Gardens,11478,22 Moffat Street Brooklyn 11207,-73.909955,40.683724,Voter,"[14, 8]"
121,BROOKLYN,A,Moffat Gardens,11478,22 Moffat Street Brooklyn 11207,-73.909955,40.683724,Handicap,"[14, 8]"
122,MANHATTAN,A,PS/MS 278,11499,421 West 219 Street New York 10034,-73.91253,40.871497,Voter,"[68, 69]"
123,MANHATTAN,A,PS/MS 278,11499,9th Avenue (Between 219th and 220th Streets) New York 10034,-73.9115467,40.870961,Handicap,"[68, 69]"
124,BRONX,A,Hellenic Orthodox Community Church,X0140,3573 Bruckner Boulevard Bronx 10461,-73.827917,40.850051,Voter,"[53, 51]"
125,BRONX,A,Hellenic Orthodox Community Church,X0140,3573 Bruckner Boulevard Bronx 10461,-73.827917,40.850051,Handicap,"[53, 51]"
126,BRONX,A,The Arbor,11153,3260 Henry Hudson Parkway Bronx 10463,-73.912517,40.885733,Voter,"[78, 81, 82]"
127,BRONX,A,The Arbor,11153,Entrance on Arlington Avenue Bronx 10463,-73.9136855,40.8821111,Handicap,"[78, 81, 82]"
128,MANHATTAN,A,Stuyvesant Town IV,M0156,283 Avenue C New York 10009,-73.975558,40.73064,Voter,"[44, 92, 39, 83]"
129,MANHATTAN,A,Stuyvesant Town IV,M0156,283 Avenue C New York 10009,-73.975558,40.73064,Handicap,"[44, 92, 39, 83]"
130,QUEENS,A,PS 35-Nathaniel Woodhull,Q0097,191-02 90 Avenue Hollis 11423,-73.768918,40.713765,Voter,"[37, 13, 11, 36, 38, 39, 12, 14]"
131,QUEENS,A,PS 35-Nathaniel Woodhull,Q0097,Entrance on 191st Street Hollis 11423,-73.7679152,40.7104492,Handicap,"[37, 13, 11, 36, 38, 39, 12, 14]"
132,QUEENS,A,PS 14-Fairview,Q0009,107-01 Otis Avenue Corona 11368,-73.854178,40.740865,Voter,"[57, 5, 35, 58, 6, 28]"
133,QUEENS,A,PS 14-Fairview,Q0009,Otis Ave & Van Doren Street Corona 11368,-73.854175,40.740457,Handicap,"[57, 5, 35, 58, 6, 28]"
134,BRONX,A,Manhattan College Raymond E. Kelly '63 Bldg,11581,3900 Waldo Avenue Bronx 10463,-73.903041,40.888466,Voter,"[52, 47, 49, 50, 54, 51]"
135,BRONX,A,Manhattan College Raymond E. Kelly '63 Bldg,11581,3900 Waldo Ave - 5 FL meeting room Bronx 10463,-73.903041,40.888466,Handicap,"[52, 47, 49, 50, 54, 51]"
136,BROOKLYN,A,PS 158,B0223,400 Ashford Street Brooklyn 11207,-73.884925,40.672561,Voter,"[70, 9, 11, 8, 47, 71]"
137,BROOKLYN,A,PS 158,B0223,Enter on Belmont Avenue Brooklyn 11207,-73.9,40.68,Handicap,"[70, 9, 11, 8, 47, 71]"
138,BRONX,A,Adult Behavioral Health Center,10024,1500 Waters Place Bronx 10461,-73.839362,40.848782,Voter,[59]
139,BRONX,A,Adult Behavioral Health Center,10024,New Building - Visitors room Bronx 10461,-73.838678,40.852693,Handicap,[59]
140,BROOKLYN,A,PS 216,B0208,350 Avenue X Brooklyn 11223,-73.969733,40.590372,Voter,"[42, 40, 36, 31]"
141,BROOKLYN,A,PS 216,B0208,350 Avenue X Brooklyn 11223,-73.969733,40.590372,Handicap,"[42, 40, 36, 31]"
142,BROOKLYN,A,Apt. House,B0324,7502 Ridge Boulevard Brooklyn 11209,-74.030729,40.631902,Voter,[90]
143,BROOKLYN,A,Apt. House,B0324,Enter on Bay Ridge Parkway Brooklyn 11209,-79.0044,44.0,Handicap,[90]
144,BRONX,A,PS 65 Mother Hale Academy,X0224,677 East 141 Street Bronx 10454,-73.912854,40.807605,Voter,"[66, 67, 68, 64, 22, 65]"
145,BRONX,A,PS 65 Mother Hale Academy,X0224,Entrance thru schoolyard on Cypress Ave Bronx 10454,-73.92,40.81,Handicap,"[66, 67, 68, 64, 22, 65]"
146,BRONX,A,JHS 135 Aspire Preparatory Middle School,X0095,2441 Wallace Avenue Bronx 10467,-73.864678,40.862669,Voter,"[45, 49, 46, 51]"
147,BRONX,A,JHS 135 Aspire Preparatory Middle School,X0095,Thru School Yard on Holland Ave Bronx 10467,4.6944,52.7014,Handicap,"[45, 49, 46, 51]"
148,BROOKLYN,A,PS 6,10437,43 Snyder Avenue Brooklyn 11226,-73.956365,40.648921,Voter,"[21, 70, 22, 20, 16, 17, 19]"
149,BROOKLYN,A,PS 6,10437,43 Snyder Avenue Brooklyn 11226,-73.956365,40.648921,Handicap,"[21, 70, 22, 20, 16, 17, 19]"
150,BROOKLYN,A,Ocean Hill Comm Ctr,11248,305 MacDougal Street Brooklyn 11233,-73.908047,40.680936,Voter,"[15, 16, 17]"
151,BROOKLYN,A,Ocean Hill Comm Ctr,11248,305 Macdougal Street Brooklyn 11233,-73.908047,40.680936,Handicap,"[15, 16, 17]"
152,BRONX,A,IS 144 Michelangelo,X0101,2545 Gunther Avenue Bronx 10469,-73.836303,40.864196,Voter,"[32, 31, 110, 54, 67, 66, 69]"
153,BRONX,A,IS 144 Michelangelo,X0101,Enter thru Allerton & Lodovick Aves Bronx 10469,-73.8601,40.8626,Handicap,"[32, 31, 110, 54, 67, 66, 69]"
154,MANHATTAN,A,Clinton Senior Center,11119,530 West 55 Street New York 10019,-73.991004,40.768082,Voter,[19]
155,MANHATTAN,A,Clinton Senior Center,11119,530 West 55 Street New York 10019,-73.991004,40.768082,Handicap,[19]
156,QUEENS,A,PS 100-Glen Morris,Q0016,111-11 118 Street South Ozone Park 11420,-73.821875,40.67991,Voter,"[10, 75, 7, 12, 9, 4, 81]"
157,QUEENS,A,PS 100-Glen Morris,Q0016,Back Entrance through Schoolyard on Lefferts Boulevard South Ozone Park 11420,-73.819,40.6701,Handicap,"[10, 75, 7, 12, 9, 4, 81]"
158,BROOKLYN,A,Community Board 12,11501,5910 13 Avenue Brooklyn 11219,-73.998439,40.629146,Voter,"[9, 14]"
159,BROOKLYN,A,Community Board 12,11501,5910 13 Avenue Brooklyn 11219,-73.998439,40.629146,Handicap,"[9, 14]"
160,STATEN IS,A,Cassidy / Lafayette Senior Center,S0009,125 Cassidy Place Staten Island 10301,-74.096366,40.642148,Voter,[10]
161,STATEN IS,A,Cassidy / Lafayette Senior Center,S0009,125 Cassidy Place Staten Island 10301,-74.096366,40.642148,Handicap,[10]
162,QUEENS,A,PS 49-Dorothy Bonawit Kole,Q0254,79-15 Penelope Avenue Middle Village 11379,-73.8746464,40.719567,Voter,"[9, 7, 5, 3, 2, 8, 6, 4]"
163,QUEENS,A,PS 49-Dorothy Bonawit Kole,Q0254,63-60 80 Street Middle Village 11379,-73.875034,40.719518,Handicap,"[9, 7, 5, 3, 2, 8, 6, 4]"
164,BROOKLYN,A,PS 176,B0042,1225 Bay Ridge Avenue Brooklyn 11219,-74.005236,40.624702,Voter,"[49, 50, 52, 65]"
165,BROOKLYN,A,PS 176,B0042,On 68 Street Brooklyn 11219,28.23106,-25.76317,Handicap,"[49, 50, 52, 65]"
166,QUEENS,A,Rosenthal Senior Center,Q0182,45-25 Kissena Boulevard Flushing 11355,-73.819902,40.75169,Voter,"[53, 52, 55, 56]"
167,QUEENS,A,Rosenthal Senior Center,Q0182,45-25 Kissena Boulevard Flushing 11355,-73.819902,40.75169,Handicap,"[53, 52, 55, 56]"
168,MANHATTAN,A,PS 188 Or 196,M0232,442 East Houston Street New York 10002,-73.977505,40.719627,Voter,"[13, 12, 11]"
169,MANHATTAN,A,PS 188 Or 196,M0232,East 3rd Street New York 10002,-73.9848796,40.7235863,Handicap,"[13, 12, 11]"
170,STATEN IS,A,PS 57 Hubert H. Humphrey,S0001,140 Palma Drive Staten Island 10304,-74.083375,40.611392,Voter,"[59, 61, 58, 60, 73, 33]"
171,STATEN IS,A,PS 57 Hubert H. Humphrey,S0001,140 Palma Drive Staten Island 10304,-74.083375,40.611392,Handicap,"[59, 61, 58, 60, 73, 33]"
172,QUEENS,A,PS 196-Grand Central Parkway,00062,71-25 113 Street Forest Hills 11375,-73.837849,40.723038,Voter,"[34, 72, 19, 20, 24, 28, 33, 70]"
173,QUEENS,A,PS 196-Grand Central Parkway,00062,71-25 113 Street Forest Hills 11375,-73.837849,40.723038,Handicap,"[34, 72, 19, 20, 24, 28, 33, 70]"
174,MANHATTAN,A,Lincoln Towers,M0041,140 West End Avenue New York 10023,-73.986084,40.775832,Voter,[31]
175,MANHATTAN,A,Lincoln Towers,M0041,140 West End Avenue New York 10023,-73.986084,40.775832,Handicap,[31]
176,BRONX,A,PS 69 Journey Prep School,X0167,560 Thieriot Avenue Bronx 10473,-73.860767,40.816835,Voter,"[95, 8, 79, 9, 7, 10]"
